,Company Name,Address,City,State,ZIP_Code,Record_Type,Neighborhood,Carrier_Route,helper,latitude,longitude
42,Mediterranea Restaurant,140 Orange St,New Haven,CT,6510,Verified,Downtown New Haven,C103,140 Orange St New Haven CT 6510,41.305941,-72.9241786
43,Modern Apizza,874 State St,New Haven,CT,6511,Verified,East Rock,C007,874 State St New Haven CT 6511,41.3138605,-72.9129048
44,More Than Pizza Inc,410 Blake St # 1,New Haven,CT,6515,Verified,Westville,C060,410 Blake St # 1 New Haven CT 6515,41.3282761,-72.956495
45,New Haven Pizza,798 George St,New Haven,CT,6511,Verified,West River,C025,798 George St New Haven CT 6511,41.3104816,-72.9496333
46,New York Pizza,560 Congress Ave,New Haven,CT,6519,Verified,Hill,C048,560 Congress Ave New Haven CT 6519,41.300327,-72.938002
47,Nica's Market,603 Orange St,New Haven,CT,6511,Verified,East Rock,C043,603 Orange St New Haven CT 6511,41.3165356,-72.9155065
48,One 6 Three,163 Foster St,New Haven,CT,6511,Verified,East Rock,C023,163 Foster St New Haven CT 6511,41.321102,-72.9091204
49,Papa John's Pizza,125 Whalley Ave,New Haven,CT,6511,Verified,Dixwell,C017,125 Whalley Ave New Haven CT 6511,41.3148654,-72.9364044
50,Pizza By Romano's,152 Ferry St,New Haven,CT,6513,Verified,Fair Haven,C011,152 Ferry St New Haven CT 6513,41.3039253,-72.8946579
51,Pizza Haven,34 Howe St,New Haven,CT,6511,Verified,Dwight,C037,34 Howe St New Haven CT 6511,41.308035,-72.9366554
52,Pizza Heaven II,410 Blake St # 1,New Haven,CT,6515,Verified,Westville,C060,410 Blake St # 1 New Haven CT 6515,41.3282761,-72.956495
53,Pizza House,89 Howe St,New Haven,CT,6511,Verified,Dwight,C037,89 Howe St New Haven CT 6511,41.3104651,-72.9343664
54,Pizza Hut,864 Whalley Ave # A,New Haven,CT,6515,Verified,Westville,C060,864 Whalley Ave # A New Haven CT 6515,41.3264108,-72.9597265
55,Pizza Plus,128 E Pearl St,New Haven,CT,6513,Verified,Fair Haven,C011,128 E Pearl St New Haven CT 6513,41.3091978,-72.8915698
56,Pizza Plus 3,328 Shelton Ave,New Haven,CT,6511,Verified,Newhallville,C024,328 Shelton Ave New Haven CT 6511,41.3320394,-72.9315993
57,Planet Apizza,996 State St,New Haven,CT,6511,Verified,Wooster Square - Mill River,C065,996 State St New Haven CT 6511,41.3159394,-72.9095234
58,Quinnipiac Pizza & Deli LLC,1653 Quinnipiac Ave,New Haven,CT,6513,Verified,Quinnipiac Meadows,C002,1653 Quinnipiac Ave New Haven CT 6513,41.3309813,-72.8676197
59,Roma Pizza,43 Main Street Anx,New Haven,CT,6512,Verified,Annex,C100,43 Main Street Anx New Haven CT 6512,41.2883428,-72.891217
60,Romanos,152 Ferry St,New Haven,CT,6513,Verified,Fair Haven,C011,152 Ferry St New Haven CT 6513,41.3039253,-72.8946579
